"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"67757","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137878","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67758","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137878","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67759","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137877","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67760","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137877","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67761","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137880","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67762","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137880","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67763","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137879","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67764","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137879","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67765","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137883","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67766","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137883","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67767","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137882","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67768","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137882","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67769","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137881","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67770","Madhya Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP356/2024-2025/137881","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67771","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137884","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67772","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137884","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","44846"
"67773","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137862","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","06-Dec-2024","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67774","Madhya Pradesh","Purchase Books for Library","WS/MP356/2024-2025/137862","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","22-Apr-2025","DISTRICT EDUCATION OFFICER NEEMUCH","Payment Success","50000"
"67775","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2025-2026/250247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","02-Feb-2026","Guru Nanak Trading Company","Payment Success","38400"
"67776","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2025-2026/250247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","02-Feb-2026","Guru Nanak Trading Company","Payment Success","46860"
"67777","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18152/2025-2026/250247","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","02-Feb-2026","Guru Nanak Trading Company","Payment Success","32400"
"67778","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/250838","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","ANANTA NAYAK","KEONJHAR(ST)","18-Aug-2026","RADHA GOBIBDA PARIDA","Payment Success","491445"
"67779","Odisha","Construction of community centers and community halls","WS/MP18146/2025-2026/250836","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","ANANTA NAYAK","KEONJHAR(ST)","15-Jul-2026","RADHA GOBIBDA PARIDA","Payment Success","286894"
"67780","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18146/2025-2026/174005","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","ANANTA NAYAK","KEONJHAR(ST)","30-Jun-2026","JANMEJAYA JENA","Payment Success","275071"
"67781","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP653/2025-2026/221812","SHAJAPUR(District Collector Shajapur_IDA)","Mahendra Singh Solanky","DEWAS(SC)","28-Oct-2025","Gram Panchayat Chonshala Kulmi","Payment Success","250000"
"67782","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/206542","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","08-Jul-2026","RIDIP DUTTA","Payment Success","200000"
"67783","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/161048","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","24-Jul-2025","RIDIP DUTTA","Payment Success","49413"
"67784","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/161048","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","25-Sep-2025","RIDIP DUTTA","Payment Success","63320"
"67785","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/161048","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","04-Feb-2026","RIDIP DUTTA","Payment Success","37266"
"67786","Assam","Construction of community centers and community halls","WS/MP18024/2024-2025/148254","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","28-Mar-2025","RIDIP DUTTA","Payment Success","27006"
"67787","Assam","Construction of community centers and community halls","WS/MP18024/2024-2025/148254","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","23-Jul-2025","RIDIP DUTTA","Payment Success","35100"
"67788","Assam","Construction of community centers and community halls","WS/MP18024/2024-2025/148254","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","23-Jul-2025","RIDIP DUTTA","Payment Success","87894"
"67789","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18024/2024-2025/148261","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","03-Apr-2025","RIDIP DUTTA","Payment Success","57785"
"67790","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18024/2024-2025/148261","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","10-Jun-2025","RIDIP DUTTA","Payment Success","79215"
"67791","Assam","Construction of boundary walls of existing public and community buildings","WS/MP18024/2024-2025/148261","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","10-Jun-2025","RIDIP DUTTA","Payment Success","63000"
"67792","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP356/2026-2027/277519","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","24-Jul-2026","GRAM PANCHAYAT BAMORI","Payment Success","100000"
"67793","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP356/2026-2027/258433","NEEMUCH(District Collector Neemuch_IDA)","Shri Sudheer Gupta","MANDSOUR","24-Jul-2026","GRAM PANCHAYAT BHANWARASA","Payment Success","150000"
"67794","Gujarat","Installing tube-wells and borewells","WS/	 MP578/2025-2026/174326","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","02-Dec-2025","GROUP GRAM PANCHAYA FULSAR","Payment Success","100000"
"67795","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/214279","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Dec-2025","GROUP GRAM PANCHAYA FULSAR","Payment Success","199961"
"67796","Gujarat","Installing tube-wells and borewells","WS/MP578/2025-2026/262531","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-May-2026","GROUP GRAM PANCHAYA FULSAR","Payment Success","99820"
"67797","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/154838","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","15-Feb-2025","BAMURIYA","Payment Success","200000"
"67798","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/154838","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","06-Mar-2025","BAMURIYA","Payment Success","175000"
"67799","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/154838","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","29-Sep-2025","BAMURIYA","Payment Success","120000"
"67800","Gujarat","Construction of water tanks","WS/MP578/2025-2026/259101","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","22-Jul-2026","GRUP GRAM PANCHAYAT KOLIVADA","Payment Success","200000"
"67801","Gujarat","Installing tube-wells and borewells","WS/	 MP578/2025-2026/176700","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","07-Jul-2025","GRUP GRAM PANCHAYAT KOLIVADA","Payment Success","150000"
"67802","Gujarat","Construction of footpaths and pedestrian ways","WS/MP578/2025-2026/227825","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","17-Dec-2025","GRUP GRAM PANCHAYAT KOLIVADA","Payment Success","200000"
"67803","Gujarat","Installing tube-wells and borewells","WS/	 MP578/2025-2026/174327","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","07-Jul-2025","GRUP GRAM PANCHAYAT KOLIVADA","Payment Success","100000"
"67804","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2024-2025/135876","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","22-Jan-2025","PARAS ENTERPRISES","Payment Success","698669"
"67805","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2024-2025/135876","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","08-May-2025","PARAS ENTERPRISES","Payment Success","298633"
"67806","Uttar Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP777/2024-2025/136653","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","04-Sep-2025","PARAS ENTERPRISES","Payment Success","708792"
"67807","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/148251","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","04-Jun-2025","BITUL SAIKIA","Payment Success","69346"
"67808","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/148251","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","12-Feb-2026","BITUL SAIKIA","Payment Success","130654"
"67809","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18024/2025-2026/206541","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","26-Jun-2026","BITUL SAIKIA","Payment Success","200000"
"67810","Assam","Construction of community centers and community halls","WS/MP18024/2024-2025/148263","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","05-Sep-2025","BITUL SAIKIA","Payment Success","108000"
"67811","Assam","Construction of community centers and community halls","WS/MP18024/2024-2025/148263","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","05-Sep-2025","BITUL SAIKIA","Payment Success","42000"
"67812","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18024/2025-2026/148257","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","10-Jun-2025","BITUL SAIKIA","Payment Success","70000"
"67813","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18024/2025-2026/148257","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","10-Jun-2025","BITUL SAIKIA","Payment Success","37800"
"67814","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18024/2025-2026/148257","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","23-Jul-2025","BITUL SAIKIA","Payment Success","27000"
"67815","Assam","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18024/2025-2026/148257","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","23-Jul-2025","BITUL SAIKIA","Payment Success","65200"
"67816","Assam","Construction of community centers and community halls","WS/MP18024/2025-2026/148253","JORHAT(DEPUTY COMMISSIONER JORHAT_IDA)","GAURAV GOGOI","JORHAT","16-Dec-2025","BITUL SAIKIA","Payment Success","84750"
"67817","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/164723","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","14-Feb-2025","SANGRAMPUR","Payment Success","200000"
"67818","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/164723","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","19-Jun-2025","SANGRAMPUR","Payment Success","175000"
"67819","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18108/2024-2025/164723","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","15-Apr-2026","SANGRAMPUR","Payment Success","125000"
"67820","Madhya Pradesh","Construction of culverts and bridges","WS/MP18108/2025-2026/266546","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","06-Apr-2026","SANGRAMPUR","Payment Success","375000"
"67821","Madhya Pradesh","Construction of culverts and bridges","WS/MP18108/2025-2026/266546","VIDISHA(District Collector Vidisha_IDA)","DR. LATA WANKHEDE","SAGAR","27-May-2026","SANGRAMPUR","Payment Success","119853"
"67822","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2025-2026/234097","SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","14-Jan-2026","GP Lana Bhalta","Payment Success","50000"
"67823","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP642/2025-2026/200937","Maihar(District Collector Maihar_IDA)","Ganesh Singh","SATNA","13-Mar-2026","Anil Kumar Nisha Tradesh","Payment Success","400000"
"67824","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP642/2025-2026/200937","Maihar(District Collector Maihar_IDA)","Ganesh Singh","SATNA","10-Jun-2026","Anil Kumar Nisha Tradesh","Payment Success","100000"
"67825","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18102/2024-2025/159150","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","11-Feb-2025","Gram Panchayat BAGWANYA","Payment Success","500000"
"67826","Madhya Pradesh","Improvement of electricity distribution infrastructure","WS/MP18102/2024-2025/159150","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","24-Oct-2025","Gram Panchayat BAGWANYA","Payment Success","500000"
"67827","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18102/2025-2026/218710","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","24-Oct-2025","Gram Panchayat BAGWANYA","Payment Success","250000"
"67828","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18102/2025-2026/218710","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","31-Oct-2025","Gram Panchayat BAGWANYA","Payment Success","250000"
"67829","West Bengal","Purchase of ambulances (Four, three and two wheelers)","WS/MP484/2025-2026/245293","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","26-May-2026","USG AUTOMOBILES PVT LTD","Payment Success","615360"
"67830","West Bengal","Purchase of ambulances (Four, three and two wheelers)","WS/MP484/2025-2026/178532","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","Mala Roy","KOLKATA DAKSHIN","26-May-2026","USG AUTOMOBILES PVT LTD","Payment Success","980000"
"67831","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242725","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-May-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67832","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242723","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","15-Apr-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67833","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242722","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","10-Mar-2026","JAI MATA DI ENTERPRISES","Payment Success","700000"
"67834","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/242729","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","10-Mar-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67835","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/242733","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","10-Mar-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67836","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242724","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-Mar-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67837","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/242730","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","10-Mar-2026","JAI MATA DI ENTERPRISES","Payment Success","400000"
"67838","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242727","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","JAI MATA DI ENTERPRISES","Payment Success","400000"
"67839","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242732","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67840","Jharkhand","Construction of culverts and bridges","WS/MP18322/2025-2026/242731","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","JAI MATA DI ENTERPRISES","Payment Success","400000"
"67841","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242734","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","JAI MATA DI ENTERPRISES","Payment Success","300000"
"67842","Jharkhand","Construction of public staircase/ stair ghat for public convenience","WS/MP18322/2025-2026/242728","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","25-May-2026","JAI MATA DI ENTERPRISES","Payment Success","700000"
"67843","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242735","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","25-May-2026","JAI MATA DI ENTERPRISES","Payment Success","400000"
"67844","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP393/2025-2026/164272","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","28-Oct-2025","S MEYYAPPAN","Payment Success","599654"
"67845","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP393/2025-2026/164273","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","22-Sep-2025","S MEYYAPPAN","Payment Success","698935"
"67846","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206603","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","12-Mar-2026","S MEYYAPPAN","Payment Success","699786"
"67847","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP598/2024-2025/163694","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","25-Sep-2025","M C Shimla Lok Sabha","Payment Success","300000"
"67848","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2025-2026/191612","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","12-Dec-2025","M C Shimla Lok Sabha","Payment Success","200000"
"67849","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2024-2025/147190","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","26-Feb-2026","M C Shimla Lok Sabha","Payment Success","340000"
"67850","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP598/2024-2025/147189","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Suresh Kumar Kashyap","SHIMLA (SC)","17-Oct-2025","M C Shimla Lok Sabha","Payment Success","100000"
"67851","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18102/2024-2025/159138","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","13-Jan-2025","GRAM PANCHAYAT KALIBAVDI","Payment Success","500000"
"67852","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18102/2024-2025/159138","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","15-Sep-2025","GRAM PANCHAYAT KALIBAVDI","Payment Success","500000"
"67853","Madhya Pradesh","Construction of buildings for community cultural activities","WS/MP18102/2025-2026/218815","DHAR(DISTRICT COLLECTOR DHAR_IDA)","SAVITRI THAKUR","DHAR(ST)","11-Oct-2025","Gram Panchayat KHAIROD","Payment Success","500000"
"67854","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/242780","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","15-Apr-2026","MS CHANDRA BHUSHAN","Payment Success","400000"
"67855","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/249597","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","19-Mar-2026","MS CHANDRA BHUSHAN","Payment Success","300000"
"67856","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183326","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","MS CHANDRA BHUSHAN","Payment Success","400000"
"67857","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18322/2025-2026/183325","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","07-Feb-2026","MS CHANDRA BHUSHAN","Payment Success","500000"
"67858","Jharkhand","Providing drains and gutters for public drainage","WS/MP18322/2025-2026/223678","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","27-Dec-2025","MS CHANDRA BHUSHAN","Payment Success","500000"
"67859","Jharkhand","Construction of common work sheds/ common covered sitting area","WS/MP18322/2025-2026/183324","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","11-Mar-2026","MS CHANDRA BHUSHAN","Payment Success","500000"
"67860","Jharkhand","Providing drains and gutters for public drainage","WS/MP18322/2025-2026/183318","DUMKA(DEPUTY COMMISSIONER DUMKA_IDA)","NALIN SOREN","DUMKA(ST)","06-Jun-2025","MS CHANDRA BHUSHAN","Payment Success","300000"
